Genus,Species,Count
Antrozous,Antrozous pallidus,143
Corynorhinus,Corynorhinus townsendii,13
Eptesicus,Eptesicus fuscus,1010
Eumops,Eumops perotis,46
Euderma,Euderma maculatum,1167
Lasiurus,Lasiurus blossevillii,13772
Lasiurus,Lasiurus cinereus,1799
Lasiurus,Lasiurus noctivagans,2596
Lasiurus,Lasiurus xanthinus,3
Myotis,Myotis californicus,8481
Myotis,Myotis ciliolabrum,607
Myotis,Myotis evotis,29
Myotis,Myotis grisescens,54
Myotis,Myotis lucifugus,23
Myotis,Myotis thysanodes,49
Myotis,Myotis volans,26
Myotis,Myotis yumanensis,34256
Nycticeius,Nycticeius humeralis,10
Nyctinomops,Nyctinomops macrotis,65
Parastrellus,Parastrellus hesperus,49226
Perimyotis,Perimyotis subflavus,1
Tadarida,Tadarida brasiliensis,5289