Genus,Species,Count,Percent,Image
Antrozous,Antrozous pallidus,143,0.1205073105,NaN
Corynorhinus,Corynorhinus townsendii,13,0.01095521005,NaN
Eptesicus,Eptesicus fuscus,1010,0.8511355497,NaN
Eumops,Eumops perotis,46,0.03876458939,NaN
Euderma,Euderma maculatum,1167,0.9834407787,NaN
Lasiurus,Lasiurus blossevillii,13772,11.60578098,NaN
Lasiurus,Lasiurus cinereus,1799,1.516032529,NaN
Lasiurus,Lasiurus noctivagans,2596,2.187671175,NaN
Lasiurus,Lasiurus xanthinus,3,0.002528125395,NaN
Myotis,Myotis californicus,8481,7.147010492,NaN
Myotis,Myotis ciliolabrum,607,0.5115240383,NaN
Myotis,Myotis evotis,29,0.02443854549,NaN
Myotis,Myotis grisescens,54,0.04550625711,NaN
Myotis,Myotis lucifugus,23,0.0193822947,NaN
Myotis,Myotis thysanodes,49,0.04129271479,NaN
Myotis,Myotis volans,26,0.02191042009,NaN
Myotis,Myotis yumanensis,34256,28.86782118,NaN
Nycticeius,Nycticeius humeralis,10,0.00842708465,NaN
Nyctinomops,Nyctinomops macrotis,65,0.05477605023,NaN
Parastrellus,Parastrellus hesperus,49226,41.4831669,https://news.berkeley.edu/wp-content/uploads/2015/07/pipistrelle750.jpg
Perimyotis,Perimyotis subflavus,1,0.000842708465,NaN
Tadarida,Tadarida brasiliensis,5289,4.457085071,NaN
NaN,NaN,118665,NaN,NaN